@relation spiel-weka.filters.unsupervised.attribute.Remove-R2_predicted

@attribute Verein numeric
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute predictedreal_outcome {Sieg,Unentschieden,Niederlage}
@attribute real_outcome {Sieg,Unentschieden,Niederlage}

@data
34,23,3,5,3,0,2,Unentschieden,Unentschieden
51,28,4,7,4,0,1,Unentschieden,Unentschieden
54,26,3,2,2,1,2,Unentschieden,Unentschieden
45,35,5,10,2,1,2,Unentschieden,Unentschieden
4,10,10,6,1,3,1,Sieg,Unentschieden
41,12,1,10,3,1,1,Unentschieden,Unentschieden
48,26,3,4,3,2,0,Unentschieden,Unentschieden
54,22,4,5,1,1,3,Unentschieden,Unentschieden
18,23,5,7,3,1,1,Unentschieden,Unentschieden
17,22,1,7,2,2,1,Unentschieden,Unentschieden
26,21,2,3,2,1,2,Unentschieden,Unentschieden
56,27,2,3,2,2,1,Unentschieden,Unentschieden
13,14,6,8,3,1,1,Unentschieden,Unentschieden
27,18,6,5,2,3,0,Unentschieden,Unentschieden
12,24,2,5,2,2,1,Unentschieden,Unentschieden
35,15,1,5,5,0,0,Unentschieden,Unentschieden
14,15,2,7,3,0,2,Unentschieden,Unentschieden
47,11,4,7,3,2,0,Unentschieden,Unentschieden
30,31,1,2,1,1,3,Unentschieden,Unentschieden
50,5,6,6,0,1,3,Unentschieden,Unentschieden
54,14,3,4,2,0,3,Unentschieden,Unentschieden
14,16,2,5,3,0,2,Unentschieden,Unentschieden
5,8,3,5,3,2,0,Unentschieden,Unentschieden
25,17,9,3,1,3,1,Sieg,Unentschieden
19,32,7,2,0,5,0,Sieg,Unentschieden
6,26,6,3,0,3,2,Sieg,Unentschieden
53,5,6,6,2,1,1,Unentschieden,Unentschieden
42,37,5,4,2,2,1,Unentschieden,Unentschieden
18,9,3,8,3,1,1,Unentschieden,Unentschieden
16,20,2,9,5,0,0,Unentschieden,Unentschieden
50,20,3,1,1,2,2,Unentschieden,Unentschieden
41,26,4,3,2,1,2,Unentschieden,Unentschieden
44,13,3,1,3,2,0,Unentschieden,Unentschieden
40,23,3,4,2,2,1,Unentschieden,Unentschieden
17,27,7,3,2,2,1,Sieg,Unentschieden
56,17,4,5,1,2,2,Unentschieden,Unentschieden
36,17,1,8,5,0,0,Unentschieden,Unentschieden
34,17,4,6,1,3,1,Unentschieden,Unentschieden
43,31,2,4,1,1,3,Unentschieden,Unentschieden
25,32,7,5,0,2,3,Sieg,Unentschieden
35,12,2,10,3,2,0,Unentschieden,Unentschieden
