@relation spiel

@attribute Verein numeric
@attribute Name string
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute real_outcome {Sieg, Unentschieden, Niederlage}

@data
9,'FC Augsburg',11,3,8,4,0,1,Sieg
9,'FC Augsburg',10,4,8,3,1,1,Niederlage
9,'FC Augsburg',9,4,8,2,2,1,Unentschieden
9,'FC Augsburg',8,5,5,1,3,1,Niederlage
9,'FC Augsburg',7,4,3,2,3,0,Unentschieden
9,'FC Augsburg',6,5,2,2,3,0,Niederlage
9,'FC Augsburg',5,3,2,2,2,0,Sieg
9,'FC Augsburg',4,2,6,2,1,0,Sieg
10,'1899 Hoffenheim',34,3,6,2,1,2,Sieg
10,'1899 Hoffenheim',33,3,3,1,1,3,Niederlage
10,'1899 Hoffenheim',32,4,4,1,2,2,Unentschieden
10,'1899 Hoffenheim',31,6,4,0,3,2,Niederlage
10,'1899 Hoffenheim',30,7,5,1,2,2,Sieg
10,'1899 Hoffenheim',29,9,6,2,2,1,Unentschieden
10,'1899 Hoffenheim',28,8,7,2,3,0,Unentschieden
10,'1899 Hoffenheim',27,5,10,2,2,1,Sieg
10,'1899 Hoffenheim',26,8,10,2,2,1,Sieg
10,'1899 Hoffenheim',25,8,8,1,2,2,Unentschieden
10,'1899 Hoffenheim',24,12,5,0,3,2,Niederlage
10,'1899 Hoffenheim',23,7,4,1,2,2,Sieg
10,'1899 Hoffenheim',22,8,2,2,2,1,Unentschieden
10,'1899 Hoffenheim',21,4,5,2,1,2,Sieg
10,'1899 Hoffenheim',20,3,5,2,2,1,Unentschieden
10,'1899 Hoffenheim',19,2,7,2,1,2,Sieg
10,'1899 Hoffenheim',18,4,4,2,1,2,Niederlage
10,'1899 Hoffenheim',17,8,7,2,1,2,Niederlage
10,'1899 Hoffenheim',16,6,7,3,1,1,Unentschieden
10,'1899 Hoffenheim',15,6,9,3,1,1,Sieg
10,'1899 Hoffenheim',14,3,7,4,1,0,Unentschieden
10,'1899 Hoffenheim',13,7,6,3,1,1,Niederlage
10,'1899 Hoffenheim',12,6,5,2,1,2,Unentschieden
10,'1899 Hoffenheim',11,7,5,2,1,2,Unentschieden
10,'1899 Hoffenheim',10,6,7,2,1,2,Sieg
10,'1899 Hoffenheim',9,6,7,2,1,2,Unentschieden
10,'1899 Hoffenheim',8,6,6,2,1,2,Unentschieden
10,'1899 Hoffenheim',7,5,9,2,2,1,Unentschieden
10,'1899 Hoffenheim',6,7,10,1,2,2,Niederlage
10,'1899 Hoffenheim',5,10,10,1,1,2,Sieg
10,'1899 Hoffenheim',4,10,6,0,1,2,Niederlage
11,'Hannover 96',34,5,2,1,3,1,Sieg
11,'Hannover 96',33,5,3,2,2,1,Sieg
11,'Hannover 96',32,5,6,3,2,0,Unentschieden
11,'Hannover 96',31,3,6,4,1,0,Sieg
11,'Hannover 96',30,2,8,4,1,0,Sieg
11,'Hannover 96',29,2,8,3,1,1,Niederlage
11,'Hannover 96',28,4,6,2,1,2,Unentschieden
11,'Hannover 96',27,4,4,2,1,2,Niederlage
11,'Hannover 96',26,5,2,2,1,2,Unentschieden
11,'Hannover 96',25,2,6,3,0,2,Sieg
11,'Hannover 96',24,1,7,3,1,1,Unentschieden
11,'Hannover 96',23,0,8,3,2,0,Unentschieden
11,'Hannover 96',22,3,5,3,2,0,Unentschieden
11,'Hannover 96',21,6,4,2,2,1,Niederlage
11,'Hannover 96',20,7,4,2,2,1,Niederlage
11,'Hannover 96',19,7,6,2,2,1,Sieg
11,'Hannover 96',18,6,9,3,1,1,Sieg
11,'Hannover 96',17,7,7,2,1,2,Niederlage
11,'Hannover 96',16,5,7,3,1,1,Unentschieden
11,'Hannover 96',15,3,3,3,1,1,Niederlage
11,'Hannover 96',14,3,6,4,0,1,Sieg
11,'Hannover 96',13,3,7,3,0,2,Niederlage
11,'Hannover 96',12,3,8,4,0,1,Unentschieden
11,'Hannover 96',11,2,6,3,1,1,Niederlage
11,'Hannover 96',10,1,4,3,1,1,Unentschieden
11,'Hannover 96',9,3,4,2,2,1,Niederlage
11,'Hannover 96',8,2,5,2,3,0,Unentschieden
11,'Hannover 96',7,6,4,2,3,0,Niederlage
11,'Hannover 96',6,6,4,2,3,0,Sieg
11,'Hannover 96',5,6,5,1,3,0,Niederlage
11,'Hannover 96',4,4,4,1,2,0,Sieg
12,'Eintracht Frankfurt',34,2,5,3,1,1,Niederlage
12,'Eintracht Frankfurt',33,2,5,3,1,1,Unentschieden
12,'Eintracht Frankfurt',32,4,5,3,2,0,Unentschieden
12,'Eintracht Frankfurt',31,3,4,2,3,0,Unentschieden
12,'Eintracht Frankfurt',30,4,2,2,3,0,Niederlage
